epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.589,3.84549,3.45446,2.50503,0.02333,0.7,0.31169,0.07745,2.96903,2.85329,1.47389,0.00018,0.00018,0.00018
2,207.714,2.49422,2.06534,1.62347,0.07065,0.65,0.28595,0.0838,2.95747,2.57225,1.75624,0.000372476,0.000372476,0.000372476
3,318.154,2.14297,1.64142,1.46375,0.3947,0.475,0.44058,0.13846,2.76274,2.39196,1.51611,0.000557032,0.000557032,0.000557032
4,408.821,2.01932,1.52278,1.38558,0.24665,0.225,0.21392,0.07805,2.44719,2.28891,1.03954,0.000733668,0.000733668,0.000733668
5,506.745,1.90052,1.40513,1.33436,0.23274,0.425,0.19429,0.05572,2.46836,2.04102,1.37197,0.000902384,0.000902384,0.000902384
6,654.607,1.89124,1.3473,1.30754,0.34749,0.4,0.41571,0.11326,2.52516,1.94498,1.57908,0.00106318,0.00106318,0.00106318
7,814.693,1.84647,1.34047,1.27707,0.43107,0.55,0.4603,0.19349,2.25167,1.86137,1.23643,0.00121606,0.00121606,0.00121606
8,964.341,1.82471,1.28742,1.26739,0.41262,0.63232,0.39015,0.11095,2.53279,1.84318,1.75855,0.00136101,0.00136101,0.00136101
9,1092.1,1.71131,1.2571,1.22945,0.45504,0.7,0.50909,0.14114,2.4533,1.83705,1.62018,0.00149805,0.00149805,0.00149805
10,1216.6,1.69393,1.2266,1.20706,0.37661,0.55,0.39938,0.10815,2.57878,2.20567,1.33874,0.00162716,0.00162716,0.00162716
11,1427.89,1.71504,1.20097,1.19545,0.42835,0.625,0.47071,0.18156,2.3579,2.17478,1.39274,0.001604,0.001604,0.001604
12,1667.82,1.64091,1.1905,1.1685,0.41411,0.4,0.38136,0.07249,2.91111,2.28072,1.5855,0.0015644,0.0015644,0.0015644
13,1840.34,1.66316,1.16752,1.18295,0.69972,0.75,0.68068,0.18831,2.4048,2.04401,1.29024,0.0015248,0.0015248,0.0015248
14,1981.15,1.61046,1.17391,1.16115,0.29719,0.45,0.21398,0.05677,2.67192,1.99915,1.42216,0.0014852,0.0014852,0.0014852
15,2143.46,1.58024,1.13286,1.13872,0.49769,0.725,0.58125,0.22548,2.1174,1.47675,1.14398,0.0014456,0.0014456,0.0014456
16,2276.65,1.53429,1.07138,1.10749,0.343,0.45691,0.22572,0.07239,2.6474,2.06404,1.49727,0.001406,0.001406,0.001406
