epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.094,1.51406,3.72594,1.43759,0.00764,0.26272,0.04221,0.02594,1.22554,3.72487,1.20253,0.00029997,0.00029997,0.00029997
2,579.787,1.36391,2.90913,1.28386,0.63798,0.02856,0.06514,0.03829,1.35333,3.7345,1.35743,0.000598951,0.000598951,0.000598951
3,858.477,1.32935,2.58275,1.28374,0.17861,0.24123,0.13067,0.08226,1.3934,2.86002,1.36803,0.000885614,0.000885614,0.000885614
4,1126.14,1.28475,2.43191,1.25346,0.17159,0.26579,0.15008,0.09104,1.42308,2.67638,1.38096,0.00104501,0.00104501,0.00104501
5,1389.96,1.2276,2.34086,1.24226,0.18103,0.33838,0.15466,0.09937,1.34262,2.83575,1.36294,0.00102301,0.00102301,0.00102301
6,1654.08,1.23512,2.29751,1.24846,0.38986,0.30908,0.19729,0.12707,1.29061,2.648,1.31116,0.00100101,0.00100101,0.00100101
7,1920.45,1.22593,2.19379,1.23334,0.20576,0.36049,0.17625,0.11783,1.28984,2.83364,1.31634,0.000979013,0.000979013,0.000979013
8,2184.14,1.23144,2.14651,1.23093,0.22828,0.38873,0.19035,0.12674,1.26642,2.39257,1.30695,0.000957015,0.000957015,0.000957015
9,2448.05,1.2146,2.10291,1.23356,0.2653,0.48465,0.23412,0.1497,1.26604,2.30919,1.27293,0.000935018,0.000935018,0.000935018
10,2712.22,1.17635,2.01198,1.20625,0.27907,0.3205,0.23467,0.15581,1.24829,2.31075,1.27283,0.00091302,0.00091302,0.00091302
11,2979.59,1.182,2.02243,1.20581,0.20652,0.34313,0.19883,0.13212,1.25592,2.45687,1.28198,0.000891022,0.000891022,0.000891022
12,3242.38,1.12604,2.03073,1.18182,0.21798,0.43266,0.21312,0.14402,1.21776,2.32691,1.25397,0.000869024,0.000869024,0.000869024
